Files already downloaded and verified
Files already downloaded and verified
Epoch 1, lr 0.100000
09:51:17 train - loss: 2.0214, acc: 0.2381
Epoch 2, lr 0.117130
09:51:45 train - loss: 1.6065, acc: 0.3895
Epoch 3, lr 0.166844
09:52:13 train - loss: 1.4171, acc: 0.4753
Epoch 4, lr 0.244275
09:52:40 train - loss: 1.2188, acc: 0.5570
Epoch 5, lr 0.341844
09:53:08 train - loss: 1.0016, acc: 0.6395
Epoch 6, lr 0.450000
09:53:36 train - loss: 0.8293, acc: 0.7053
Epoch 7, lr 0.558156
09:54:04 train - loss: 0.6824, acc: 0.7581
Epoch 8, lr 0.655725
09:54:31 train - loss: 0.5705, acc: 0.8010
Epoch 9, lr 0.733156
09:54:59 train - loss: 0.4936, acc: 0.8289
Epoch 10, lr 0.782870
09:55:27 train - loss: 0.4348, acc: 0.8481
09:55:29 valid - loss: 0.5171, acc: 0.8221
Epoch 11, lr 0.800000
09:55:57 train - loss: 0.3815, acc: 0.8670
Epoch 12, lr 0.799977
09:56:25 train - loss: 0.3446, acc: 0.8808
Epoch 13, lr 0.799906
09:56:52 train - loss: 0.3114, acc: 0.8930
Epoch 14, lr 0.799789
09:57:20 train - loss: 0.2888, acc: 0.8996
Epoch 15, lr 0.799625
09:57:48 train - loss: 0.2674, acc: 0.9060
Epoch 16, lr 0.799414
09:58:16 train - loss: 0.2489, acc: 0.9131
Epoch 17, lr 0.799156
09:58:43 train - loss: 0.2368, acc: 0.9177
Epoch 18, lr 0.798852
09:59:11 train - loss: 0.2212, acc: 0.9229
Epoch 19, lr 0.798501
09:59:39 train - loss: 0.2121, acc: 0.9248
Epoch 20, lr 0.798103
10:00:06 train - loss: 0.2022, acc: 0.9286
10:00:09 valid - loss: 0.3798, acc: 0.8782
Epoch 21, lr 0.797658
10:00:36 train - loss: 0.1971, acc: 0.9300
Epoch 22, lr 0.797167
10:01:04 train - loss: 0.1903, acc: 0.9334
Epoch 23, lr 0.796629
10:01:32 train - loss: 0.1793, acc: 0.9361
Epoch 24, lr 0.796045
10:01:59 train - loss: 0.1745, acc: 0.9380
Epoch 25, lr 0.795414
10:02:27 train - loss: 0.1674, acc: 0.9400
Epoch 26, lr 0.794737
10:02:55 train - loss: 0.1641, acc: 0.9422
Epoch 27, lr 0.794014
10:03:22 train - loss: 0.1549, acc: 0.9443
Epoch 28, lr 0.793244
