Files already downloaded and verified
Files already downloaded and verified
Epoch 1, lr 0.100000
/opt/conda/envs/python35-paddle120-env/lib/python3.7/site-packages/torch/optim/lr_scheduler.py:113: UserWarning: Seems like `optimizer.step()` has been overridden after learning rate scheduler initialization. Please, make sure to call `optimizer.step()` before `lr_scheduler.step()`. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  "https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate", UserWarning)
10:06:25 train - loss: 1.8444, acc: 0.3665
Epoch 2, lr 0.107342
10:07:09 train - loss: 1.6067, acc: 0.4951
Epoch 3, lr 0.128647
10:07:53 train - loss: 1.4808, acc: 0.5577
Epoch 4, lr 0.161832
10:08:38 train - loss: 1.3598, acc: 0.6181
Epoch 5, lr 0.203647
10:09:22 train - loss: 1.2440, acc: 0.6802
Epoch 6, lr 0.250000
10:10:06 train - loss: 1.1351, acc: 0.7362
Epoch 7, lr 0.296353
10:10:50 train - loss: 1.0564, acc: 0.7740
Epoch 8, lr 0.338168
10:11:34 train - loss: 0.9826, acc: 0.8088
Epoch 9, lr 0.371353
10:12:19 train - loss: 0.9328, acc: 0.8316
Epoch 10, lr 0.392658
10:13:03 train - loss: 0.8862, acc: 0.8534
10:13:10 valid - loss: 0.6094, acc: 0.7993
Epoch 11, lr 0.400000
10:13:54 train - loss: 0.8417, acc: 0.8717
Epoch 12, lr 0.399973
10:14:38 train - loss: 0.8175, acc: 0.8830
Epoch 13, lr 0.399891
10:15:22 train - loss: 0.7922, acc: 0.8912
Epoch 14, lr 0.399754
10:16:07 train - loss: 0.7723, acc: 0.8984
Epoch 15, lr 0.399563
10:16:51 train - loss: 0.7544, acc: 0.9041
Epoch 16, lr 0.399317
10:17:35 train - loss: 0.7362, acc: 0.9120
Epoch 17, lr 0.399017
10:18:19 train - loss: 0.7245, acc: 0.9166
Epoch 18, lr 0.398662
10:19:04 train - loss: 0.7127, acc: 0.9202
Epoch 19, lr 0.398253
10:19:48 train - loss: 0.7033, acc: 0.9231
Epoch 20, lr 0.397790
10:20:32 train - loss: 0.6939, acc: 0.9255
10:20:35 valid - loss: 0.4237, acc: 0.8701
Epoch 21, lr 0.397272
10:21:19 train - loss: 0.6867, acc: 0.9291
Epoch 22, lr 0.396701
10:22:03 train - loss: 0.6810, acc: 0.9307
Epoch 23, lr 0.396076
10:22:47 train - loss: 0.6742, acc: 0.9334
Epoch 24, lr 0.395397
10:23:32 train - loss: 0.6654, acc: 0.9376
Epoch 25, lr 0.394665
10:24:16 train - loss: 0.6597, acc: 0.9393
Epoch 26, lr 0.393880
10:25:00 train - loss: 0.6588, acc: 0.9393
Epoch 27, lr 0.393042
10:25:44 train - loss: 0.6532, acc: 0.9414
Epoch 28, lr 0.392151
10:26:29 train - loss: 0.6535, acc: 0.9411
Epoch 29, lr 0.391207
10:27:13 train - loss: 0.6434, acc: 0.9451
Epoch 30, lr 0.390212
10:27:57 train - loss: 0.6427, acc: 0.9450
10:28:00 valid - loss: 0.4245, acc: 0.8755
Epoch 31, lr 0.389164
10:28:44 train - loss: 0.6409, acc: 0.9456
Epoch 32, lr 0.388064
10:29:28 train - loss: 0.6351, acc: 0.9472
Epoch 33, lr 0.386913
10:30:13 train - loss: 0.6336, acc: 0.9490
Epoch 34, lr 0.385711
10:30:57 train - loss: 0.6321, acc: 0.9487
Epoch 35, lr 0.384458
10:31:41 train - loss: 0.6287, acc: 0.9498
Epoch 36, lr 0.383155
10:32:25 train - loss: 0.6262, acc: 0.9507
Epoch 37, lr 0.381802
