Files already downloaded and verified
Files already downloaded and verified
Epoch 1, lr 0.100000
12:20:20 train - loss: 2.3039, acc: 0.1246
Epoch 2, lr 0.117130
12:20:49 train - loss: 2.0364, acc: 0.2045
Epoch 3, lr 0.166844
12:21:18 train - loss: 1.9341, acc: 0.2355
Epoch 4, lr 0.244275
12:21:47 train - loss: 1.8769, acc: 0.2563
Epoch 5, lr 0.341844
12:22:16 train - loss: 1.8041, acc: 0.2894
Epoch 6, lr 0.450000
12:22:45 train - loss: 1.7514, acc: 0.3123
Epoch 7, lr 0.558156
12:23:14 train - loss: 1.7206, acc: 0.3305
Epoch 8, lr 0.655725
12:23:43 train - loss: 1.6280, acc: 0.3676
Epoch 9, lr 0.733156
12:24:12 train - loss: 1.5939, acc: 0.3865
Epoch 10, lr 0.782870
12:24:41 train - loss: 1.5465, acc: 0.4103
12:24:44 valid - loss: 2.4310, acc: 0.3114
Epoch 11, lr 0.800000
12:25:13 train - loss: 1.5090, acc: 0.4233
Epoch 12, lr 0.799977
12:25:42 train - loss: 1.4549, acc: 0.4453
Epoch 13, lr 0.799906
12:26:11 train - loss: 1.4236, acc: 0.4563
Epoch 14, lr 0.799789
12:26:40 train - loss: 1.3976, acc: 0.4686
Epoch 15, lr 0.799625
12:27:09 train - loss: 1.3703, acc: 0.4806
Epoch 16, lr 0.799414
12:27:38 train - loss: 1.3940, acc: 0.4753
Epoch 17, lr 0.799156
12:28:07 train - loss: 1.3360, acc: 0.4979
Epoch 18, lr 0.798852
12:28:36 train - loss: 1.3025, acc: 0.5108
Epoch 19, lr 0.798501
12:29:05 train - loss: 1.2990, acc: 0.5122
Epoch 20, lr 0.798103
12:29:34 train - loss: 1.2698, acc: 0.5274
12:29:36 valid - loss: 1.0990, acc: 0.5980
Epoch 21, lr 0.797658
12:30:05 train - loss: 1.2558, acc: 0.5318
Epoch 22, lr 0.797167
12:30:34 train - loss: 1.2238, acc: 0.5437
Epoch 23, lr 0.796629
12:31:04 train - loss: 1.2282, acc: 0.5419
Epoch 24, lr 0.796045
12:31:33 train - loss: 1.2056, acc: 0.5526
Epoch 25, lr 0.795414
12:32:02 train - loss: 1.1994, acc: 0.5548
Epoch 26, lr 0.794737
12:32:31 train - loss: 1.1831, acc: 0.5594
Epoch 27, lr 0.794014
12:33:00 train - loss: 1.1776, acc: 0.5649
Epoch 28, lr 0.793244
12:33:29 train - loss: 1.1650, acc: 0.5685
Epoch 29, lr 0.792429
12:33:58 train - loss: 1.1542, acc: 0.5722
Epoch 30, lr 0.791567
12:34:27 train - loss: 1.1524, acc: 0.5736
12:34:29 valid - loss: 0.9100, acc: 0.6700
Epoch 31, lr 0.790660
12:34:58 train - loss: 1.1380, acc: 0.5788
Epoch 32, lr 0.789707
12:35:27 train - loss: 1.1397, acc: 0.5763
Epoch 33, lr 0.788708
12:35:56 train - loss: 1.1269, acc: 0.5844
Epoch 34, lr 0.787663
12:36:25 train - loss: 1.1319, acc: 0.5810
Epoch 35, lr 0.786573
12:36:54 train - loss: 1.1168, acc: 0.5872
Epoch 36, lr 0.785438
12:37:23 train - loss: 1.1323, acc: 0.5824
Epoch 37, lr 0.784258
12:37:52 train - loss: 1.1377, acc: 0.5787
Epoch 38, lr 0.783032
12:38:21 train - loss: 1.1065, acc: 0.5910
Epoch 39, lr 0.781762
12:38:50 train - loss: 1.0960, acc: 0.5943
Epoch 40, lr 0.780447
12:39:19 train - loss: 1.0931, acc: 0.5955
12:39:21 valid - loss: 0.9201, acc: 0.6710
Epoch 41, lr 0.779087
12:39:51 train - loss: 1.1034, acc: 0.5906
Epoch 42, lr 0.777683
12:40:20 train - loss: 1.0887, acc: 0.5969
Epoch 43, lr 0.776235
12:40:49 train - loss: 1.0843, acc: 0.6003
Epoch 44, lr 0.774743
12:41:18 train - loss: 1.0959, acc: 0.5964
Epoch 45, lr 0.773206
12:41:47 train - loss: 1.0822, acc: 0.6000
Epoch 46, lr 0.771626
12:42:16 train - loss: 1.0774, acc: 0.6054
Epoch 47, lr 0.770003
12:42:45 train - loss: 1.0680, acc: 0.6058
Epoch 48, lr 0.768336
12:43:14 train - loss: 1.0679, acc: 0.6091
Epoch 49, lr 0.766625
12:43:43 train - loss: 1.1166, acc: 0.5893
Epoch 50, lr 0.764872
12:44:12 train - loss: 1.0825, acc: 0.6007
12:44:14 valid - loss: 0.9914, acc: 0.6558
Epoch 51, lr 0.763076
12:44:43 train - loss: 1.0747, acc: 0.6072
Epoch 52, lr 0.761238
