Files already downloaded and verified
Files already downloaded and verified
Epoch 1, lr 0.100000
/opt/conda/envs/python35-paddle120-env/lib/python3.7/site-packages/torch/optim/lr_scheduler.py:113: UserWarning: Seems like `optimizer.step()` has been overridden after learning rate scheduler initialization. Please, make sure to call `optimizer.step()` before `lr_scheduler.step()`. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  "https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate", UserWarning)
19:54:11 train - loss: 1.8157, acc: 0.3187
Epoch 2, lr 0.126919
19:54:54 train - loss: 1.4681, acc: 0.4675
Epoch 3, lr 0.205041
19:55:37 train - loss: 1.1217, acc: 0.5977
Epoch 4, lr 0.326718
19:56:20 train - loss: 0.9284, acc: 0.6739
Epoch 5, lr 0.480041
19:57:04 train - loss: 0.7104, acc: 0.7533
Epoch 6, lr 0.650000
19:57:47 train - loss: 0.5696, acc: 0.8025
Epoch 7, lr 0.819959
19:58:30 train - loss: 1.4537, acc: 0.5174
Epoch 8, lr 0.973282
19:59:13 train - loss: 0.7475, acc: 0.7399
Epoch 9, lr 1.094959
19:59:57 train - loss: 0.5736, acc: 0.8031
Epoch 10, lr 1.173081
20:00:40 train - loss: 0.5162, acc: 0.8212
20:00:47 valid - loss: 0.6734, acc: 0.7656
Epoch 11, lr 1.200000
20:01:31 train - loss: 0.4478, acc: 0.8472
Epoch 12, lr 1.199918
20:02:14 train - loss: 0.4244, acc: 0.8553
Epoch 13, lr 1.199672
20:02:57 train - loss: 0.4066, acc: 0.8605
Epoch 14, lr 1.199263
20:03:40 train - loss: 0.3716, acc: 0.8730
Epoch 15, lr 1.198689
20:04:24 train - loss: 0.3755, acc: 0.8717
Epoch 16, lr 1.197952
20:05:07 train - loss: 0.3912, acc: 0.8674
Epoch 17, lr 1.197052
20:05:50 train - loss: 0.3309, acc: 0.8856
Epoch 18, lr 1.195989
20:06:33 train - loss: 0.3255, acc: 0.8889
Epoch 19, lr 1.194763
20:07:16 train - loss: 0.3031, acc: 0.8962
Epoch 20, lr 1.193374
20:08:00 train - loss: 0.2970, acc: 0.8984
20:08:03 valid - loss: 0.6896, acc: 0.7803
Epoch 21, lr 1.191824
20:08:47 train - loss: 0.2999, acc: 0.8972
Epoch 22, lr 1.190111
20:09:30 train - loss: 0.2980, acc: 0.8978
Epoch 23, lr 1.188238
20:10:13 train - loss: 0.2972, acc: 0.8981
Epoch 24, lr 1.186204
20:10:56 train - loss: 0.2592, acc: 0.9111
Epoch 25, lr 1.184009
20:11:39 train - loss: 0.2725, acc: 0.9069
Epoch 26, lr 1.181655
20:12:23 train - loss: 0.2703, acc: 0.9068
Epoch 27, lr 1.179143
20:13:06 train - loss: 0.2615, acc: 0.9110
Epoch 28, lr 1.176472
20:13:49 train - loss: 0.2576, acc: 0.9117
Epoch 29, lr 1.173643
20:14:33 train - loss: 0.2627, acc: 0.9110
Epoch 30, lr 1.170658
20:15:16 train - loss: 0.2553, acc: 0.9123
20:15:20 valid - loss: 1.1455, acc: 0.7245
Epoch 31, lr 1.167517
20:16:03 train - loss: 0.2455, acc: 0.9156
Epoch 32, lr 1.164221
20:16:46 train - loss: 0.2413, acc: 0.9180
Epoch 33, lr 1.160771
20:17:30 train - loss: 0.2433, acc: 0.9162
Epoch 34, lr 1.157168
20:18:13 train - loss: 0.2354, acc: 0.9180
Epoch 35, lr 1.153413
20:18:56 train - loss: 0.2499, acc: 0.9154
Epoch 36, lr 1.149506
20:19:39 train - loss: 0.2296, acc: 0.9207
Epoch 37, lr 1.145449
