Files already downloaded and verified
Files already downloaded and verified
Epoch 1, lr 0.100000
/opt/conda/envs/python35-paddle120-env/lib/python3.7/site-packages/torch/optim/lr_scheduler.py:113: UserWarning: Seems like `optimizer.step()` has been overridden after learning rate scheduler initialization. Please, make sure to call `optimizer.step()` before `lr_scheduler.step()`. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  "https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate", UserWarning)
00:18:22 train - loss: 2.0310, acc: 0.2769
Epoch 2, lr 0.117130
00:19:15 train - loss: 1.8605, acc: 0.3560
Epoch 3, lr 0.166844
00:20:08 train - loss: 1.8017, acc: 0.3898
Epoch 4, lr 0.244275
00:21:01 train - loss: 1.6487, acc: 0.4679
Epoch 5, lr 0.341844
00:21:53 train - loss: 1.4749, acc: 0.5543
Epoch 6, lr 0.450000
00:22:46 train - loss: 1.3624, acc: 0.6143
Epoch 7, lr 0.558156
00:23:39 train - loss: 1.2291, acc: 0.6810
Epoch 8, lr 0.655725
00:24:32 train - loss: 1.1462, acc: 0.7190
Epoch 9, lr 0.733156
00:25:25 train - loss: 1.0407, acc: 0.7695
Epoch 10, lr 0.782870
00:26:18 train - loss: 0.9647, acc: 0.8033
00:26:25 valid - loss: 0.7004, acc: 0.7748
Epoch 11, lr 0.800000
00:27:18 train - loss: 0.9024, acc: 0.8299
Epoch 12, lr 0.799945
00:28:11 train - loss: 0.8570, acc: 0.8499
Epoch 13, lr 0.799781
00:29:04 train - loss: 0.8261, acc: 0.8626
Epoch 14, lr 0.799508
00:29:57 train - loss: 0.7957, acc: 0.8752
Epoch 15, lr 0.799125
00:30:50 train - loss: 0.7767, acc: 0.8813
Epoch 16, lr 0.798634
00:31:44 train - loss: 0.7552, acc: 0.8909
Epoch 17, lr 0.798033
00:32:37 train - loss: 0.7410, acc: 0.8968
Epoch 18, lr 0.797324
00:33:30 train - loss: 0.7225, acc: 0.9040
Epoch 19, lr 0.796506
00:34:23 train - loss: 0.7150, acc: 0.9078
Epoch 20, lr 0.795579
00:35:17 train - loss: 0.7034, acc: 0.9132
00:35:19 valid - loss: 0.6230, acc: 0.8083
Epoch 21, lr 0.794545
00:36:12 train - loss: 0.6919, acc: 0.9172
Epoch 22, lr 0.793402
00:37:06 train - loss: 0.6871, acc: 0.9199
Epoch 23, lr 0.792152
00:37:59 train - loss: 0.6816, acc: 0.9209
Epoch 24, lr 0.790795
00:38:52 train - loss: 0.6719, acc: 0.9251
Epoch 25, lr 0.789331
00:39:45 train - loss: 0.6621, acc: 0.9307
Epoch 26, lr 0.787760
00:40:38 train - loss: 0.6601, acc: 0.9309
Epoch 27, lr 0.786084
00:41:31 train - loss: 0.6570, acc: 0.9321
Epoch 28, lr 0.784302
00:42:24 train - loss: 0.6507, acc: 0.9358
Epoch 29, lr 0.782415
00:43:17 train - loss: 0.6476, acc: 0.9363
Epoch 30, lr 0.780423
00:44:11 train - loss: 0.6464, acc: 0.9374
00:44:13 valid - loss: 0.4151, acc: 0.8781
Epoch 31, lr 0.778327
00:45:06 train - loss: 0.6420, acc: 0.9391
Epoch 32, lr 0.776128
00:45:59 train - loss: 0.6402, acc: 0.9389
Epoch 33, lr 0.773826
00:46:52 train - loss: 0.6360, acc: 0.9415
Epoch 34, lr 0.771422
00:47:45 train - loss: 0.6349, acc: 0.9419
Epoch 35, lr 0.768916
00:48:38 train - loss: 0.6323, acc: 0.9433
Epoch 36, lr 0.766310
00:49:31 train - loss: 0.6263, acc: 0.9462
Epoch 37, lr 0.763603
