Files already downloaded and verified
Files already downloaded and verified
Epoch 1, lr 0.100000
23:50:35 train - loss: 2.2847, acc: 0.1354
Epoch 2, lr 0.117130
23:51:03 train - loss: 2.1974, acc: 0.1939
Epoch 3, lr 0.166844
23:51:31 train - loss: 2.1723, acc: 0.2143
Epoch 4, lr 0.244275
23:51:59 train - loss: 2.1057, acc: 0.2492
Epoch 5, lr 0.341844
23:52:27 train - loss: 2.0364, acc: 0.2955
Epoch 6, lr 0.450000
23:52:56 train - loss: 1.9973, acc: 0.3213
Epoch 7, lr 0.558156
23:53:24 train - loss: 1.9293, acc: 0.3591
Epoch 8, lr 0.655725
23:53:52 train - loss: 1.9155, acc: 0.3733
Epoch 9, lr 0.733156
23:54:20 train - loss: 1.8850, acc: 0.3890
Epoch 10, lr 0.782870
23:54:48 train - loss: 2.1359, acc: 0.2403
23:54:51 valid - loss: 2.1741, acc: 0.2296
Epoch 11, lr 0.800000
23:55:19 train - loss: 2.0511, acc: 0.2906
Epoch 12, lr 0.799994
23:55:47 train - loss: 2.0067, acc: 0.3233
Epoch 13, lr 0.799977
23:56:15 train - loss: 1.9417, acc: 0.3600
Epoch 14, lr 0.799949
23:56:43 train - loss: 1.8468, acc: 0.4129
Epoch 15, lr 0.799909
23:57:11 train - loss: 1.8628, acc: 0.4079
Epoch 16, lr 0.799858
23:57:40 train - loss: 1.8222, acc: 0.4316
Epoch 17, lr 0.799796
23:58:08 train - loss: 1.7649, acc: 0.4606
Epoch 18, lr 0.799723
23:58:36 train - loss: 1.7231, acc: 0.4784
Epoch 19, lr 0.799638
23:59:04 train - loss: 1.7693, acc: 0.4580
Epoch 20, lr 0.799541
23:59:32 train - loss: 1.7158, acc: 0.4840
23:59:34 valid - loss: 1.0726, acc: 0.7731
Epoch 21, lr 0.799434
00:00:03 train - loss: 1.7139, acc: 0.4823
Epoch 22, lr 0.799315
00:00:31 train - loss: 1.7383, acc: 0.4756
Epoch 23, lr 0.799185
00:00:59 train - loss: 1.5940, acc: 0.5436
Epoch 24, lr 0.799043
00:01:27 train - loss: 1.6901, acc: 0.4972
Epoch 25, lr 0.798890
00:01:55 train - loss: 1.6968, acc: 0.4933
Epoch 26, lr 0.798726
00:02:23 train - loss: 1.6283, acc: 0.5252
Epoch 27, lr 0.798551
00:02:52 train - loss: 1.6815, acc: 0.4993
Epoch 28, lr 0.798364
00:03:20 train - loss: 1.6970, acc: 0.4957
Epoch 29, lr 0.798166
00:03:48 train - loss: 1.6044, acc: 0.5381
Epoch 30, lr 0.797957
00:04:16 train - loss: 1.6527, acc: 0.5131
00:04:18 valid - loss: 0.9166, acc: 0.8271
Epoch 31, lr 0.797737
00:04:46 train - loss: 1.5984, acc: 0.5438
Epoch 32, lr 0.797505
00:05:15 train - loss: 1.5736, acc: 0.5525
Epoch 33, lr 0.797262
00:05:43 train - loss: 1.5888, acc: 0.5449
Epoch 34, lr 0.797008
00:06:11 train - loss: 1.6425, acc: 0.5234
Epoch 35, lr 0.796742
00:06:39 train - loss: 1.5145, acc: 0.5785
Epoch 36, lr 0.796466
00:07:07 train - loss: 1.5533, acc: 0.5658
Epoch 37, lr 0.796178
00:07:35 train - loss: 1.5948, acc: 0.5425
Epoch 38, lr 0.795878
00:08:04 train - loss: 1.5736, acc: 0.5490
Epoch 39, lr 0.795568
00:08:32 train - loss: 1.5777, acc: 0.5502
Epoch 40, lr 0.795246
00:09:00 train - loss: 1.5687, acc: 0.5557
00:09:02 valid - loss: 0.8394, acc: 0.8629
Epoch 41, lr 0.794914
00:09:31 train - loss: 1.4942, acc: 0.5886
Epoch 42, lr 0.794570
00:09:59 train - loss: 1.5710, acc: 0.5538
Epoch 43, lr 0.794215
00:10:27 train - loss: 1.6169, acc: 0.5292
Epoch 44, lr 0.793848
00:10:55 train - loss: 1.5149, acc: 0.5764
Epoch 45, lr 0.793471
00:11:23 train - loss: 1.5723, acc: 0.5544
Epoch 46, lr 0.793082
00:11:51 train - loss: 1.5301, acc: 0.5741
Epoch 47, lr 0.792683
00:12:20 train - loss: 1.5185, acc: 0.5794
Epoch 48, lr 0.792272
00:12:48 train - loss: 1.5644, acc: 0.5581
Epoch 49, lr 0.791850
00:13:16 train - loss: 1.5714, acc: 0.5507
Epoch 50, lr 0.791417
00:13:44 train - loss: 1.5632, acc: 0.5553
00:13:46 valid - loss: 0.8723, acc: 0.8666
Epoch 51, lr 0.790973
00:14:15 train - loss: 1.5069, acc: 0.5804
Epoch 52, lr 0.790517
00:14:43 train - loss: 1.5017, acc: 0.5837
Epoch 53, lr 0.790051
00:15:11 train - loss: 1.5083, acc: 0.5795
Epoch 54, lr 0.789574
00:15:40 train - loss: 1.5401, acc: 0.5706
Epoch 55, lr 0.789086
00:16:08 train - loss: 1.4637, acc: 0.6015
Epoch 56, lr 0.788586
00:16:36 train - loss: 1.4692, acc: 0.5989
Epoch 57, lr 0.788076
00:17:05 train - loss: 1.4890, acc: 0.5925
Epoch 58, lr 0.787555
00:17:33 train - loss: 1.5594, acc: 0.5592
Epoch 59, lr 0.787022
00:18:01 train - loss: 1.4607, acc: 0.5985
Epoch 60, lr 0.786479
00:18:29 train - loss: 1.5189, acc: 0.5738
00:18:32 valid - loss: 0.7614, acc: 0.8892
Epoch 61, lr 0.785925
00:19:00 train - loss: 1.5736, acc: 0.5499
Epoch 62, lr 0.785360
00:19:28 train - loss: 1.4981, acc: 0.5842
Epoch 63, lr 0.784784
00:19:56 train - loss: 1.4236, acc: 0.6220
