Files already downloaded and verified
Files already downloaded and verified
Epoch 1, lr 0.100000
14:16:34 train - loss: 2.2185, acc: 0.1789
Epoch 2, lr 0.117130
14:17:02 train - loss: 2.0597, acc: 0.2685
Epoch 3, lr 0.166844
14:17:30 train - loss: 2.0165, acc: 0.3057
Epoch 4, lr 0.244275
14:17:58 train - loss: 1.9007, acc: 0.3722
Epoch 5, lr 0.341844
14:18:25 train - loss: 1.8047, acc: 0.4311
Epoch 6, lr 0.450000
14:18:53 train - loss: 1.7416, acc: 0.4666
Epoch 7, lr 0.558156
14:19:21 train - loss: 1.6528, acc: 0.5133
Epoch 8, lr 0.655725
14:19:49 train - loss: 1.6645, acc: 0.5136
Epoch 9, lr 0.733156
14:20:16 train - loss: 1.6297, acc: 0.5300
Epoch 10, lr 0.782870
14:20:44 train - loss: 1.7204, acc: 0.4889
14:20:46 valid - loss: 1.2169, acc: 0.7065
Epoch 11, lr 0.800000
14:21:14 train - loss: 1.4795, acc: 0.6091
Epoch 12, lr 0.799977
14:21:42 train - loss: 1.5668, acc: 0.5623
Epoch 13, lr 0.799906
14:22:10 train - loss: 1.4820, acc: 0.6057
Epoch 14, lr 0.799789
14:22:37 train - loss: 1.4102, acc: 0.6457
Epoch 15, lr 0.799625
14:23:05 train - loss: 1.5002, acc: 0.5970
Epoch 16, lr 0.799414
14:23:33 train - loss: 1.4755, acc: 0.6122
Epoch 17, lr 0.799156
14:24:00 train - loss: 1.4018, acc: 0.6432
Epoch 18, lr 0.798852
14:24:28 train - loss: 1.3754, acc: 0.6532
Epoch 19, lr 0.798501
14:24:56 train - loss: 1.4501, acc: 0.6158
Epoch 20, lr 0.798103
14:25:24 train - loss: 1.3895, acc: 0.6428
14:25:26 valid - loss: 1.0338, acc: 0.7869
Epoch 21, lr 0.797658
14:25:54 train - loss: 1.4014, acc: 0.6331
Epoch 22, lr 0.797167
14:26:21 train - loss: 1.4444, acc: 0.6181
Epoch 23, lr 0.796629
14:26:49 train - loss: 1.2639, acc: 0.7101
Epoch 24, lr 0.796045
14:27:17 train - loss: 1.3869, acc: 0.6446
Epoch 25, lr 0.795414
14:27:45 train - loss: 1.4111, acc: 0.6310
Epoch 26, lr 0.794737
14:28:12 train - loss: 1.3267, acc: 0.6694
Epoch 27, lr 0.794014
14:28:40 train - loss: 1.3976, acc: 0.6353
Epoch 28, lr 0.793244
14:29:08 train - loss: 1.4034, acc: 0.6292
Epoch 29, lr 0.792429
14:29:36 train - loss: 1.2822, acc: 0.6929
Epoch 30, lr 0.791567
14:30:03 train - loss: 1.3624, acc: 0.6491
14:30:05 valid - loss: 0.7883, acc: 0.8799
Epoch 31, lr 0.790660
14:30:33 train - loss: 1.3101, acc: 0.6837
