Files already downloaded and verified
Files already downloaded and verified
Epoch 1, lr 0.100000
/opt/conda/envs/python35-paddle120-env/lib/python3.7/site-packages/torch/optim/lr_scheduler.py:113: UserWarning: Seems like `optimizer.step()` has been overridden after learning rate scheduler initialization. Please, make sure to call `optimizer.step()` before `lr_scheduler.step()`. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  "https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate", UserWarning)
18:58:30 train - loss: 2.2252, acc: 0.1893
Epoch 2, lr 0.117130
18:59:12 train - loss: 1.8303, acc: 0.3505
Epoch 3, lr 0.166844
18:59:53 train - loss: 1.6424, acc: 0.4584
Epoch 4, lr 0.244275
19:00:34 train - loss: 1.4720, acc: 0.5464
Epoch 5, lr 0.341844
19:01:15 train - loss: 1.2926, acc: 0.6385
Epoch 6, lr 0.450000
19:01:56 train - loss: 1.1468, acc: 0.7071
Epoch 7, lr 0.558156
19:02:37 train - loss: 1.0384, acc: 0.7602
Epoch 8, lr 0.655725
19:03:19 train - loss: 0.9475, acc: 0.8032
Epoch 9, lr 0.733156
19:04:00 train - loss: 0.8763, acc: 0.8360
Epoch 10, lr 0.782870
19:04:41 train - loss: 0.9176, acc: 0.8220
19:04:51 valid - loss: 0.5644, acc: 0.8324
Epoch 11, lr 0.800000
19:05:32 train - loss: 0.8216, acc: 0.8594
Epoch 12, lr 0.799977
19:06:13 train - loss: 0.7717, acc: 0.8829
Epoch 13, lr 0.799906
19:06:54 train - loss: 0.7532, acc: 0.8910
Epoch 14, lr 0.799789
19:07:36 train - loss: 0.7206, acc: 0.9040
Epoch 15, lr 0.799625
19:08:17 train - loss: 0.7051, acc: 0.9119
Epoch 16, lr 0.799413
19:08:58 train - loss: 0.6808, acc: 0.9231
Epoch 17, lr 0.799155
19:09:40 train - loss: 0.6711, acc: 0.9267
Epoch 18, lr 0.798850
19:10:21 train - loss: 0.6560, acc: 0.9333
Epoch 19, lr 0.798499
19:11:02 train - loss: 0.6470, acc: 0.9365
Epoch 20, lr 0.798100
19:11:43 train - loss: 0.6373, acc: 0.9419
19:11:47 valid - loss: 0.3865, acc: 0.8934
Epoch 21, lr 0.797655
19:12:28 train - loss: 0.6403, acc: 0.9403
Epoch 22, lr 0.797163
19:13:09 train - loss: 0.6436, acc: 0.9370
Epoch 23, lr 0.796625
19:13:51 train - loss: 0.6249, acc: 0.9473
Epoch 24, lr 0.796040
19:14:32 train - loss: 0.6176, acc: 0.9495
Epoch 25, lr 0.795409
19:15:13 train - loss: 0.6166, acc: 0.9498
Epoch 26, lr 0.794731
19:15:54 train - loss: 0.6090, acc: 0.9534
Epoch 27, lr 0.794006
19:16:36 train - loss: 0.6046, acc: 0.9548
Epoch 28, lr 0.793236
19:17:17 train - loss: 0.6050, acc: 0.9551
Epoch 29, lr 0.792420
19:17:58 train - loss: 0.6031, acc: 0.9551
Epoch 30, lr 0.791557
19:18:39 train - loss: 0.6008, acc: 0.9564
19:18:43 valid - loss: 0.3591, acc: 0.9049
Epoch 31, lr 0.790648
19:19:24 train - loss: 0.5993, acc: 0.9569
Epoch 32, lr 0.789694
19:20:05 train - loss: 0.5980, acc: 0.9572
Epoch 33, lr 0.788694
19:20:46 train - loss: 0.5951, acc: 0.9584
Epoch 34, lr 0.787648
19:21:28 train - loss: 0.6004, acc: 0.9557
Epoch 35, lr 0.786557
19:22:09 train - loss: 0.5997, acc: 0.9570
Epoch 36, lr 0.785420
19:22:50 train - loss: 0.5956, acc: 0.9590
Epoch 37, lr 0.784238
