Files already downloaded and verified
Files already downloaded and verified
Epoch 1, lr 0.100000
/opt/conda/envs/python35-paddle120-env/lib/python3.7/site-packages/torch/optim/lr_scheduler.py:113: UserWarning: Seems like `optimizer.step()` has been overridden after learning rate scheduler initialization. Please, make sure to call `optimizer.step()` before `lr_scheduler.step()`. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  "https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate", UserWarning)
13:35:01 train - loss: 2.1746, acc: 0.1947
Epoch 2, lr 0.126919
13:35:20 train - loss: 1.8698, acc: 0.3343
Epoch 3, lr 0.205041
13:35:39 train - loss: 1.8053, acc: 0.3960
Epoch 4, lr 0.326718
13:35:58 train - loss: 1.5579, acc: 0.5115
Epoch 5, lr 0.480041
13:36:17 train - loss: 1.4028, acc: 0.5849
Epoch 6, lr 0.650000
13:36:35 train - loss: 1.2800, acc: 0.6420
Epoch 7, lr 0.819959
13:36:54 train - loss: 1.1694, acc: 0.6959
Epoch 8, lr 0.973282
13:37:13 train - loss: 1.0627, acc: 0.7487
Epoch 9, lr 1.094959
13:37:32 train - loss: 0.9898, acc: 0.7842
Epoch 10, lr 1.173081
13:37:51 train - loss: 0.9325, acc: 0.8087
13:37:56 valid - loss: 0.6588, acc: 0.7883
Epoch 11, lr 1.200000
13:38:15 train - loss: 0.8714, acc: 0.8372
Epoch 12, lr 1.199965
13:38:34 train - loss: 0.8297, acc: 0.8558
Epoch 13, lr 1.199859
13:38:53 train - loss: 0.7978, acc: 0.8705
Epoch 14, lr 1.199683
13:39:12 train - loss: 0.7645, acc: 0.8840
Epoch 15, lr 1.199437
13:39:31 train - loss: 0.7490, acc: 0.8911
Epoch 16, lr 1.199120
13:39:50 train - loss: 0.7285, acc: 0.8999
Epoch 17, lr 1.198733
13:40:09 train - loss: 0.7159, acc: 0.9062
Epoch 18, lr 1.198276
13:40:28 train - loss: 0.7029, acc: 0.9125
Epoch 19, lr 1.197748
13:40:47 train - loss: 0.6943, acc: 0.9165
Epoch 20, lr 1.197151
13:41:05 train - loss: 0.6870, acc: 0.9190
13:41:07 valid - loss: 0.5064, acc: 0.8454
Epoch 21, lr 1.196483
13:41:26 train - loss: 0.6824, acc: 0.9208
Epoch 22, lr 1.195745
13:41:45 train - loss: 0.6692, acc: 0.9268
Epoch 23, lr 1.194937
13:42:04 train - loss: 0.6653, acc: 0.9283
Epoch 24, lr 1.194060
13:42:23 train - loss: 0.6581, acc: 0.9311
Epoch 25, lr 1.193113
13:42:42 train - loss: 0.6515, acc: 0.9337
Epoch 26, lr 1.192096
13:43:00 train - loss: 0.6495, acc: 0.9354
Epoch 27, lr 1.191010
13:43:19 train - loss: 0.6466, acc: 0.9365
Epoch 28, lr 1.189854
13:43:38 train - loss: 0.6515, acc: 0.9335
Epoch 29, lr 1.188629
13:43:57 train - loss: 0.6393, acc: 0.9393
Epoch 30, lr 1.187335
13:44:16 train - loss: 0.6375, acc: 0.9400
13:44:18 valid - loss: 0.4069, acc: 0.8848
Epoch 31, lr 1.185972
13:44:37 train - loss: 0.6346, acc: 0.9402
Epoch 32, lr 1.184541
13:44:56 train - loss: 0.6302, acc: 0.9430
Epoch 33, lr 1.183041
13:45:15 train - loss: 0.6331, acc: 0.9423
Epoch 34, lr 1.181472
13:45:34 train - loss: 0.6290, acc: 0.9438
Epoch 35, lr 1.179835
13:45:52 train - loss: 0.6279, acc: 0.9443
Epoch 36, lr 1.178130
13:46:11 train - loss: 0.6236, acc: 0.9466
Epoch 37, lr 1.176357
